mean_build,mean_kitch,mean_life,mean_material,mean_max,mean_num,mean_state,mode_build,mode_kitch,mode_life,mode_material,mode_max,mode_num,mode_state,sub_area
1964.4528301886792,7.117757009345794,34.24967320261439,2.1869158878504673,7.841121495327103,2.177570093457944,2.407766990291262,1961.0,5.0,18.0,2.0,5.0,2.0,2.0,Ajeroport
1968.1269035532996,8.859701492537315,34.742801556420225,2.144278606965174,13.17412935323383,2.129353233830846,2.342541436464088,2012.0,5.0,30.0,1.0,5.0,2.0,3.0,Akademicheskoe
1974.957894736842,6.605050505050505,29.76721311475411,2.2626262626262625,10.242424242424242,2.01010101010101,2.225806451612903,1965.0,5.0,19.0,2.0,9.0,2.0,2.0,Alekseevskoe
1977.5438596491229,7.231578947368423,28.642500000000002,1.8070175438596492,11.807017543859649,1.9298245614035088,2.25531914893617,1978.0,6.0,28.0,1.0,12.0,2.0,2.0,Altuf'evskoe
1948.3333333333333,8.44,36.76818181818181,2.1333333333333333,8.066666666666666,2.466666666666667,2.6666666666666665,1964.0,7.0,17.0,2.0,5.0,2.0,2.0,Arbat
1955.41,6.889108910891089,32.08483870967743,1.8217821782178218,11.326732673267326,1.9603960396039604,2.276595744680851,1971.0,5.0,28.0,1.0,5.0,2.0,2.0,Babushkinskoe
1559.287037037037,6.811926605504588,32.569014084507046,2.036697247706422,7.577981651376147,2.3394495412844036,2.3493975903614457,1.0,1.0,1.0,2.0,1.0,2.0,2.0,Basmannoe
1964.3061224489795,7.588235294117647,35.74142857142857,2.5686274509803924,9.431372549019608,2.176470588235294,2.5217391304347827,1964.0,5.0,16.0,2.0,9.0,3.0,2.0,Begovoe
1979.7533333333333,8.29337748344371,29.76798029556651,1.9602649006622517,14.7682119205298,1.8675496688741722,2.6041666666666665,1971.0,10.0,19.0,1.0,17.0,1.0,3.0,Beskudnikovskoe
1978.3632075471698,7.382242990654203,30.47608695652173,1.1869158878504673,12.607476635514018,1.939252336448598,2.404494382022472,1974.0,8.0,30.0,1.0,12.0,1.0,2.0,Bibirevo
1969.2392156862745,8.26031128404669,27.59184049079755,1.9844357976653697,14.521400778210117,1.688715953307393,2.457627118644068,1983.0,8.0,19.0,1.0,12.0,1.0,3.0,Birjulevo Vostochnoe
1959.4722222222222,6.807407407407406,29.756115107913672,1.5740740740740742,11.805555555555555,1.8518518518518519,2.485148514851485,1973.0,6.0,30.0,1.0,9.0,2.0,3.0,Birjulevo Zapadnoe
