id,price_doc
30474,5241100.0
30475,8081634.5
30476,5178200.0
30477,5786203.0
30478,4877855.0
30479,9125365.0
30480,4168496.0
30481,4048278.75
30482,4775400.0
30483,4625330.0
30484,6206866.5
30485,4573837.5
30486,3510155.25
30487,3865300.0
30488,6037241.0
30489,6016274.0
30490,21852484.0
30491,20140300.0
30492,5601800.0
30493,12618100.0
30494,6614715.0
30495,10451700.0
30496,8572994.0
30497,8171534.5
30498,4473400.0
30499,7378600.0
30500,11142481.0
30501,6695000.0
30502,2923829.75
30503,6400000.0
30504,5675700.0
30505,10885486.0
30506,3378614.25
30507,4579075.0
30508,5237568.0
30509,7591400.0
30510,9137505.0
30511,6300000.0
30512,6334600.0
30513,4129080.75
30514,3437319.25
30515,9303554.0
30516,5746662.5
30517,10855796.0
30518,7632807.0
30519,4407700.0
30520,6866601.5
30521,5641100.0
30522,7352772.0
30523,6200000.0
30524,9904500.0
30525,10038100.0
30526,4721358.5
30527,4755335.5
30528,6427100.0
30529,6556100.0
30530,6058900.0
30531,14404300.0
30532,4644974.5
30533,10274800.0
30534,6556270.0
30535,9407083.0
30536,5608426.0
30537,11218800.0
30538,4804800.0
30539,9542729.0
30540,9523092.0
30541,5500000.0
30542,2062036.5
30543,5560300.0
30544,6619600.0
30545,8397600.0
30546,4007415.75
30547,9800681.0
30548,4445613.5
30549,4807037.5
30550,11917200.0
30551,4991930.0
30552,1743148.375
30553,7000000.0
30554,10593700.0
30555,6122771.5
30556,9181740.0
30557,7435000.0
30558,9012000.0
30559,6172300.0
30560,6060600.0
30561,6586100.0
30562,11992550.0
30563,4735351.0
30564,6825100.0
30565,6377300.0
30566,7024205.0
30567,1945995.375
30568,9630000.0
30569,9540100.0
30570,6453300.0
30571,7222228.5
30572,4788703.0
30573,6519502.5
30574,5923200.0
30575,7384300.0
30576,4457100.0
30577,3940300.0
30578,3227163.0
30579,6872500.0
30580,4262900.0
30581,5296800.0
30582,12448300.0
30583,6749213.5
30584,4426100.0
30585,2341469.75
30586,8972656.0
30587,5681370.0
30588,8103200.0
30589,7156200.0
30590,12204600.0
30591,5138300.0
30592,6500000.0
30593,7934593.0
30594,7103683.5
30595,5500000.0
30596,6491614.5
30597,6531382.5
30598,9504274.0
30599,10503300.0
30600,5069154.0
30601,5927200.0
30602,1685471.5
30603,12146927.0
30604,4438600.0
30605,6580393.0
30606,23851100.0
30607,6356400.0
30608,8277957.0
30609,6028950.0
30610,2951514.75
30611,5266127.0
30612,7000000.0
30613,8455317.0
30614,17509600.0
30615,7220400.0
30616,5446879.0
30617,9417600.0
30618,4849700.0
30619,4272365.5
30620,2629466.25
30621,8681400.0
30622,7764600.0
30623,6134100.0
30624,6441877.0
30625,7838204.5
30626,6141800.0
30627,7153200.0
30628,6395959.0
30629,5000000.0
30630,4894192.0
30631,5888144.5
30632,3839305.0
30633,5667000.0
30634,11262500.0
30635,9460127.0
30636,5204000.0
30637,9260462.0
30638,5830200.0
30639,7348700.0
30640,4410672.5
30641,7946482.0
30642,6102700.0
30643,7737400.0
30644,9467509.0
30645,6919300.0
30646,5183600.0
30647,4601115.5
30648,24443110.0
30649,2251816.5
30650,4805400.0
30651,3396268.75
30652,4282732.0
30653,7361640.5
30654,4438521.5
30655,13108183.0
30656,3799881.0
30657,6157500.0
30658,10288868.0
30659,4596050.5
30660,8385900.0
30661,6400218.0
30662,7831599.5
30663,14282900.0
30664,11554400.0
30665,5947373.5
30666,2732366.75
30667,4006193.0
30668,8831323.0
30669,4612802.0
30670,2380900.0
30671,7000000.0
30672,14901843.0
30673,10352000.0
30674,10990600.0
30675,2022191.625
30676,6500000.0
30677,4335100.0
30678,18641148.0
30679,5678400.0
30680,4867515.5
30681,2390528.5
30682,8283900.0
30683,9573174.0
30684,4519900.0
30685,7352600.0
30686,9289936.0
30687,4826648.0
30688,4347943.0
30689,14350700.0
30690,26969962.0
30691,4368200.0
30692,5859200.0
30693,10506500.0
30694,5225300.0
30695,7050271.0
30696,6300000.0
30697,11836000.0
30698,7296700.0
30699,5753300.0
30700,4848474.5
30701,9467509.0
30702,5902400.0
30703,3713889.5
30704,11278299.0
30705,8884100.0
30706,24687360.0
30707,3559157.5
30708,13731800.0
30709,5700017.0
30710,6876300.0
30711,4611922.0
30712,3794127.0
30713,6300000.0
30714,6896100.0
30715,3859672.5
30716,9567077.0
30717,6265400.0
30718,8449200.0
30719,14295608.0
30720,7000000.0
30721,4462800.0
30722,7001920.0
30723,6053869.0
30724,11898860.0
30725,6673400.0
30726,11365500.0
30727,9381514.0
30728,11054989.0
30729,3266845.25
30730,6067400.0
30731,6345477.0
30732,4229400.0
30733,9949900.0
30734,6815602.5
30735,5304323.0
30736,5268472.5
30737,6387700.0
30738,5702700.0
30739,3954791.0
30740,6548165.5
30741,10927925.0
30742,4082018.75
30743,4867706.0
30744,9064909.0
30745,6711400.0
30746,5475268.5
30747,14811000.0
30748,15894640.0
30749,4866200.0
30750,6397545.5
30751,3255300.0
30752,7218537.5
